ID,Wind speed in km/h,Waterfowl population,Wave Action,Turbidity of water (NTUs)
10017,9,35,Low,NA
10018,9,20,Low,NA
10019,9,10,Low,NA
10020,11,40,Low,20.7
10021,11,55,Low,7.26
10022,11,NA,Low,NA
10023,11,NA,Moderate,NA
10024,11,NA,Low,NA
10025,11,NA,Low,NA
10026,11,78,Low,NA
10027,11,NA,Low,NA
10028,11,14,Low,NA
10029,11,10,Moderate,NA
10030,9,2,Low,2.52
10031,9,200,Low,1.48
10032,9,NA,Low,NA
10033,9,19,Moderate,NA
10034,9,6,Low,NA
10035,9,4,Low,NA
10036,9,33,Low,NA
10037,9,3,Low,NA
10038,9,NA,Low,NA
10039,9,5,Moderate,NA
10040,4,4,Low,1.34
10041,4,160,Low,0.91
10042,4,3,Low,NA
10043,4,NA,Low,NA
10044,4,6,Low,NA
10045,NA,NA,Low,0.58
10046,NA,80,Low,1.7
10047,NA,NA,None,NA
10048,NA,NA,Low,NA
10049,NA,4,Low,NA
10050,NA,NA,Low,NA
10051,NA,6,None,NA
10052,NA,1,Low,NA
10053,NA,5,Low,NA
10054,NA,7,Low,NA
10055,13,5,Low,0.51
10056,13,20,Low,0.77
10057,13,3,Low,NA
10058,13,NA,Low,NA
10059,13,17,Low,NA
10060,13,NA,Low,NA
10061,13,21,Low,NA
10062,13,5,Low,NA
10063,13,15,Low,NA
10064,13,20,Moderate,NA
10065,22,8,Moderate,1.07
10066,22,50,Low,3.47
10067,22,1,Low,NA
10068,22,NA,Moderate,NA
10069,22,NA,Moderate,NA
10070,22,1,Low,NA
10071,22,61,Low,NA
10072,22,NA,Low,NA
10073,22,11,Low,NA
10074,22,NA,Moderate,NA
10075,8,NA,None,NA
10076,8,35,Low,2.63
10077,8,NA,Low,NA
10078,8,NA,Moderate,NA
10079,8,NA,Low,NA
10080,8,NA,Low,NA
10081,8,NA,Low,NA
10082,8,10,Low,NA
10083,8,25,Low,NA
10084,8,6,Low,NA
10085,4,8,Low,3.65
10086,4,50,Low,1.85
10087,4,NA,Low,NA
10088,4,2,Low,NA
10089,4,NA,Low,NA
10090,4,21,Low,NA
10091,4,12,Low,NA
10092,4,2,Low,NA
10093,4,30,Low,NA
10094,4,50,Low,NA
10095,NA,30,Low,1.76
10096,NA,55,Low,1.33
10097,NA,2,Low,NA
10098,NA,14,Low,NA
10099,NA,11,Low,NA
10100,NA,30,Low,NA
10101,NA,30,Low,NA
10102,NA,5,Low,NA
10103,NA,20,Low,NA
10104,NA,6,Low,NA
10105,18,17,Moderate,2.33
10106,18,45,Low,2.04
10107,18,NA,Low,NA
10108,18,NA,Moderate,NA
10109,18,NA,Low,NA
10110,18,NA,Low,NA
10111,18,42,Low,NA
10112,18,2,Moderate,NA
10113,18,7,Moderate,NA
10114,18,20,High,NA
10115,4,62,Low,NA
10116,4,62,Low,NA
10117,4,7,Low,NA
10118,4,12,Low,NA
10119,4,NA,Low,NA
10120,8,10,Low,1.34
10121,8,150,Low,0.85
10122,8,NA,Low,NA
10123,8,2,Low,NA
10124,8,NA,Low,NA
10125,8,8,Low,NA
10126,8,78,Low,NA
10127,8,NA,Low,NA
10128,8,23,Low,NA
10129,8,1200,Low,NA
10130,15,4,Low,3.24
10131,15,100,Low,1.34
10132,15,NA,Low,NA
10133,15,1,Low,NA
10134,15,9,Low,NA
10135,15,NA,None,NA
10136,15,67,Low,NA
10137,15,27,Low,NA
10138,15,7,Low,NA
10139,15,NA,Moderate,NA
10140,21,17,Low,1.67
10141,21,50,Low,1
10142,21,2,Low,NA
10143,21,17,Low,NA
10144,21,4,Low,NA
10145,21,NA,Low,NA
10146,21,16,Low,NA
10147,21,5,Low,NA
10148,21,10,Low,NA
10149,21,NA,Low,NA
10150,8,45,Low,0.72
10151,8,7,Low,1.1
10152,8,29,Low,2.22
10153,8,45,Low,1.6
10154,8,2,Moderate,NA
10155,8,NA,Low,NA
10156,8,2,Low,NA
10157,8,NA,Low,NA
10158,8,6,Low,NA
10159,8,3,Low,NA
10160,8,5,Low,NA
10161,8,NA,Moderate,NA
10162,11,12,Low,1.21
10163,11,49,Low,5.58
10164,11,NA,Moderate,NA
10165,11,NA,Low,NA
10166,11,NA,Low,NA
10167,11,NA,Low,NA
10168,11,NA,Low,NA
10169,11,1,Low,NA
10170,11,3,Low,NA
10171,11,NA,High,NA
10172,5,NA,None,NA
10173,5,40,Low,3.62
10174,5,11,Low,NA
10175,5,2,Low,NA
10176,5,5,Low,NA
10177,5,2,Low,NA
10178,5,13,Low,NA
10179,5,1,Low,NA
10180,5,3,Low,NA
10181,5,5,Low,NA
10182,24,5,Low,1.34
10183,24,40,Low,1.94
10184,24,1,Low,NA
10185,24,NA,Low,NA
10186,24,NA,Low,NA
10187,24,NA,Low,NA
10188,24,25,Low,NA
10189,24,18,Low,NA
10190,24,2,Low,NA
10191,24,NA,Low,NA
10192,32,NA,None,NA
10193,32,100,Moderate,0.62
10194,32,NA,Moderate,NA
10195,32,NA,High,NA
10196,32,NA,High,NA
10197,32,2,High,NA
10198,32,60,Moderate,NA
10199,32,NA,High,NA
10200,32,NA,High,NA
10201,32,NA,High,NA
10202,17,25,Moderate,3.29
10203,17,60,Low,1.24
10204,17,2,Low,NA
10205,17,NA,High,NA
10206,17,3,Low,NA
10207,17,NA,Low,NA
10208,17,72,Low,NA
10209,17,NA,High,NA
10210,17,2,High,NA
10211,17,NA,High,NA
10212,8,NA,Low,NA
10213,8,10,Low,NA
10214,8,9,Low,NA
10215,8,3,Low,NA
10216,8,19,Low,NA
10217,8,5,Low,NA
10218,8,3,Low,NA
10219,8,3,Low,NA
10220,9,11,Low,1.06
10221,9,49,Low,1.06
10222,9,6,Moderate,NA
10223,9,19,Moderate,NA
10224,9,7,Moderate,NA
10225,9,2,Moderate,NA
10226,9,23,Moderate,NA
10227,9,2,Low,NA
10228,9,7,Low,NA
10229,9,85,Low,NA
10230,5,13,Low,3.88
10231,5,51,Low,2.23
10232,5,2,Low,NA
10233,5,9,Low,NA
10234,5,17,Low,NA
10235,5,1,Low,NA
10236,5,8,Low,NA
10237,5,5,Low,NA
10238,5,3,Low,NA
10239,5,NA,Low,NA
10240,35,NA,None,NA
10241,35,51,High,6.9
10242,35,NA,None,NA
10243,35,NA,High,NA
10244,35,NA,High,NA
10245,35,NA,High,NA
10246,35,NA,High,NA
10247,35,7,Low,NA
10248,35,2,Moderate,NA
10249,35,NA,High,NA
10250,5,7,Low,0.68
10251,5,15,Low,1.41
10252,5,NA,Low,NA
10253,5,6,Low,NA
10254,5,NA,Low,NA
10255,5,NA,Low,NA
10256,5,62,Low,NA
10257,5,3,Low,NA
10258,5,5,Low,NA
10259,5,49,Low,NA
10260,4,4,Low,1.6
10261,4,30,Low,1.92
10262,4,2,Low,NA
10263,4,8,Low,NA
10264,4,9,Low,NA
10265,4,NA,Low,NA
10266,4,46,Low,NA
10267,4,5,Low,NA
10268,4,7,Low,NA
10269,4,23,Low,NA
10270,18,NA,None,NA
10271,18,42,High,45.6
10272,18,NA,High,NA
10273,18,NA,High,NA
10274,18,NA,Moderate,NA
10275,18,NA,Moderate,NA
10276,18,4,Moderate,NA
10277,18,NA,Moderate,NA
10278,18,3,Moderate,NA
10279,18,2,Moderate,NA
10280,41,35,Moderate,0.53
10281,41,55,Moderate,0.79
10282,41,2,Low,NA
10283,41,NA,Low,NA
10284,41,NA,Low,NA
10285,41,2,Low,NA
10286,41,42,Low,NA
10287,41,7,Low,NA
10288,41,15,Low,NA
10289,41,2,Low,NA
10290,5,26,Low,0.78
10291,5,45,Low,1.59
10292,5,NA,Low,NA
10293,5,1,Low,NA
10294,5,NA,Low,NA
10295,5,NA,Low,NA
10296,5,11,Low,NA
10297,5,NA,Low,NA
10298,5,8,Low,NA
10299,5,NA,Low,NA
10300,13,17,Low,2.05
10301,13,12,Low,2.47
10302,13,NA,Low,NA
10303,13,2,Low,NA
10304,13,3,Low,NA
10305,13,NA,Low,NA
10306,13,78,Low,NA
10307,13,NA,Low,NA
10308,13,NA,Low,NA
10309,13,6,Low,NA
10310,8,3,Low,0.81
10311,8,50,Low,2.36
10312,8,7,Low,NA
10313,8,NA,Low,NA
10314,8,3,Low,NA
10315,8,18,Low,NA
10316,8,18,Low,NA
10317,8,10,Low,NA
10318,8,20,Low,NA
10319,8,100,Low,NA
10320,5,5,Low,0.62
10321,5,125,Low,1.51
10322,5,4,Low,NA
10323,5,NA,Low,NA
10324,5,1,Low,NA
10325,5,1,Low,NA
10326,5,29,Low,NA
10327,5,NA,Low,NA
10328,5,3,Low,NA
10329,5,NA,Low,NA
10330,8,10,Moderate,2.63
10331,8,67,Moderate,2.39
10332,8,NA,Low,NA
10333,8,NA,Moderate,NA
10334,8,4,Low,NA
10335,8,3,Low,NA
10336,8,62,Low,NA
10337,8,5,Moderate,NA
10338,8,7,Moderate,NA
10339,8,NA,High,NA
10340,9,10,Low,1.52
10341,9,59,Low,1.49
10342,9,1,Low,NA
10343,9,4,Low,NA
10344,9,7,Low,NA
10345,9,1,Low,NA
10346,9,36,Low,NA
10347,9,1,Low,NA
10348,9,16,Low,NA
10349,9,NA,Low,NA
10350,5,3,Low,1.46
10351,5,94,Low,1.78
10352,5,5,Low,NA
10353,5,1,Low,NA
10354,5,3,Low,NA
10355,5,6,Low,NA
10356,5,2,Low,NA
10357,5,1,Low,NA
10358,5,3,Low,NA
10359,5,NA,Low,NA
10360,NA,12,Low,0.91
10361,NA,94,Low,1.52
10362,NA,16,Low,NA
10363,NA,1,Low,NA
10364,NA,3,Low,NA
10365,NA,NA,Low,NA
10366,NA,38,Low,NA
10367,NA,5,Low,NA
10368,NA,28,Low,NA
10369,NA,37,Low,NA
10370,5,17,Moderate,1.34
10371,5,52,Moderate,1.72
10372,5,2,Low,NA
10373,5,NA,Moderate,NA
10374,5,7,Low,NA
10375,5,NA,Low,NA
10376,5,12,Low,NA
10377,5,NA,Low,NA
10378,5,13,Low,NA
10379,5,13,Low,NA
10380,4,12,Low,1.09
10381,4,35,Low,1.94
10382,4,4,Low,NA
10383,4,NA,Low,NA
10384,4,2,Low,NA
10385,4,NA,Low,NA
10386,4,89,Low,NA
10387,4,2,Low,NA
10388,4,9,Low,NA
10389,4,5,Moderate,NA
10390,4,4,Low,1.39
10391,4,50,Low,1.89
10392,4,NA,Low,NA
10393,4,11,Low,NA
10394,4,3,Low,NA
10395,4,17,Low,NA
10396,4,46,Low,NA
10397,4,23,Low,NA
10398,4,12,Low,NA
10399,4,NA,Low,NA
10400,4,2,Low,1.27
10401,4,46,Low,1.62
10402,4,NA,Low,NA
10403,4,25,Low,NA
10404,4,NA,Low,NA
10405,4,NA,Low,NA
10406,4,70,Low,NA
10407,4,3,Low,NA
10408,4,21,Low,NA
10409,4,NA,Low,NA
10410,NA,NA,Low,1.39
10411,NA,100,Low,2.35
10412,NA,NA,Low,NA
10413,NA,NA,Low,NA
10414,NA,1,Low,NA
10415,NA,NA,Low,NA
10416,NA,NA,Low,NA
10417,NA,5,Low,NA
10418,NA,3,Low,NA
10419,NA,NA,Low,NA
10420,13,20,Moderate,15.2
10421,13,40,Low,4.53
10422,13,NA,High,NA
10423,13,NA,High,NA
10424,13,2,Moderate,NA
10425,13,NA,Moderate,NA
10426,13,38,Moderate,NA
10427,13,NA,Moderate,NA
10428,13,3,Moderate,NA
10429,13,NA,High,NA
10430,4,3,Low,0.98
10431,4,47,Low,2.76
10432,4,NA,Low,NA
10433,4,2,Low,NA
10434,4,4,Low,NA
10435,4,NA,Low,NA
10436,4,NA,Low,NA
10437,4,2,Low,NA
10438,4,17,Low,NA
10439,4,NA,Low,NA
10440,8,NA,Low,1.21
10441,8,250,Low,1.57
10442,8,3,Low,NA
10443,8,14,Low,NA
10444,8,6,Low,NA
10445,8,NA,Low,NA
10446,8,27,Low,NA
10447,8,2,Low,NA
10448,8,NA,Low,NA
10449,8,NA,Low,NA
10450,8,20,Low,1.11
10451,8,62,Low,1.41
10452,8,9,Low,NA
10453,8,3,Low,NA
10454,8,13,Low,NA
10455,8,NA,Low,NA
10456,8,26,Low,NA
10457,8,2,Low,NA
10458,8,26,Low,NA
10459,8,35,Low,NA
10460,5,10,Low,0.66
10461,5,55,Low,1.39
10462,5,2,Low,NA
10463,5,NA,Low,NA
10464,5,12,Low,NA
10465,5,3,Low,NA
10466,5,52,Low,NA
10467,5,7,Low,NA
10468,5,3,Low,NA
10469,5,NA,Low,NA
10470,3,1,Low,0.61
10471,3,200,Low,1.13
10472,3,NA,Low,NA
10473,3,NA,Low,NA
10474,3,7,Low,NA
10475,3,3,Low,NA
10476,3,36,Low,NA
10477,3,3,Low,NA
10478,3,10,Low,NA
10479,3,40,Low,NA
10480,46,30,High,1.91
10481,46,40,High,0.85
10482,46,NA,Low,NA
10483,46,NA,High,NA
10484,46,NA,Moderate,NA
10485,46,NA,Low,NA
10486,46,19,Low,NA
10487,46,NA,Moderate,NA
10488,46,NA,Moderate,NA
10489,46,NA,High,NA
10490,5,27,Low,0.52
10491,5,60,Low,5.03
10492,5,NA,Moderate,NA
10493,5,NA,Low,NA
10494,5,12,Low,NA
10495,5,6,Low,NA
10496,5,56,Low,NA
10497,5,2,Low,NA
10498,5,5,Low,NA
10499,5,13,Low,NA
10500,17,15,Low,0.64
10501,17,40,Low,2.76
10502,17,NA,Low,NA
10503,17,17,Low,NA
10504,17,NA,Low,NA
10505,17,NA,Low,NA
10506,17,32,Low,NA
10507,17,NA,Low,NA
10508,17,7,Low,NA
10509,17,80,Moderate,NA
10510,15,10,Low,0.64
10511,15,35,Low,1.47
10512,15,NA,Low,NA
10513,15,NA,None,NA
10514,15,NA,Low,NA
10515,15,NA,Low,NA
10516,15,41,Low,NA
10517,15,3,Low,NA
10518,15,NA,Low,NA
10519,15,42,Low,NA
10520,5,15,Low,1.59
10521,5,32,Low,2.54
10522,5,2,Low,NA
10523,5,17,Low,NA
10524,5,NA,Low,NA
10525,5,1,Low,NA
10526,5,3,Low,NA
10527,5,NA,Low,NA
10528,5,5,Low,NA
10529,5,NA,Low,NA
10530,9,4,Moderate,0.51
10531,9,70,Low,1.83
10532,9,NA,Low,NA
10533,9,3,Moderate,NA
10534,9,4,Moderate,NA
10535,9,16,Low,NA
10536,9,63,Low,NA
10537,9,8,Low,NA
10538,9,25,Low,NA
10539,9,NA,Moderate,NA
10540,18,17,Low,1.61
10541,18,45,Low,1.1
10542,18,23,Low,NA
10543,18,NA,Low,NA
10544,18,15,Low,NA
10545,18,NA,Low,NA
10546,18,12,Low,NA
10547,18,NA,Moderate,NA
10548,18,NA,Moderate,NA
10549,18,17,High,NA
10550,9,7,Low,2.61
10551,9,180,Low,0.72
10552,9,NA,Low,NA
10553,9,NA,Low,NA
10554,9,4,Low,NA
10555,9,NA,Low,NA
10556,9,37,Low,NA
10557,9,NA,Low,NA
10558,9,NA,Low,NA
10559,9,NA,Low,NA
10560,5,1,Low,0.77
10561,5,90,Low,1.18
10562,5,3,Low,NA
10563,5,NA,Low,NA
10564,5,11,Low,NA
10565,5,3,Low,NA
10566,5,21,Low,NA
10567,5,NA,Low,NA
10568,5,17,Low,NA
10569,5,3,Low,NA
10570,8,15,Low,3.1
10571,8,61,Low,2.77
10572,8,9,Moderate,NA
10573,8,NA,High,NA
10574,8,6,Moderate,NA
10575,8,1,Moderate,NA
10576,8,167,Low,NA
10577,8,10,Low,NA
10578,8,64,Low,NA
10579,8,NA,Moderate,NA
10580,4,10,Moderate,1.45
10581,4,150,Moderate,0.91
10582,4,3,Low,NA
10583,4,NA,Moderate,NA
10584,4,16,Low,NA
10585,4,NA,Low,NA
10586,4,6,Low,NA
10587,4,NA,Moderate,NA
10588,4,NA,Moderate,NA
10589,4,74,Moderate,NA
10590,8,10,Low,2.83
10591,8,79,Low,0.93
10592,8,4,Low,NA
10593,8,6,Low,NA
10594,8,2,Low,NA
10595,8,2,Low,NA
10596,8,221,Low,NA
10597,8,12,Moderate,NA
10598,8,32,Moderate,NA
10599,8,NA,Low,NA
10600,5,3,Low,0.89
10601,5,NA,Low,0.88
10602,5,4,Low,NA
10603,5,2,Low,NA
10604,5,1,Low,NA
10605,5,6,Low,NA
10606,5,30,Low,NA
10607,5,5,Low,NA
10608,5,3,Low,NA
10609,5,5,Low,NA
10610,5,NA,Low,0.5
10611,5,5,Low,1.27
10612,5,NA,Low,NA
10613,5,4,Low,NA
10614,5,2,Low,NA
10615,5,2,Low,NA
10616,5,38,Low,NA
10617,5,12,Low,NA
10618,5,25,Low,NA
10619,5,NA,Moderate,NA
10620,28,10,High,1.46
10621,28,2,Moderate,1.21
10622,28,2,Low,NA
10623,28,NA,Moderate,NA
10624,28,3,Low,NA
10625,28,7,Low,NA
10626,28,23,Low,NA
10627,28,2,Moderate,NA
10628,28,25,Moderate,NA
10629,28,NA,High,NA
10630,5,7,Moderate,1.11
10631,5,14,Low,4.13
10632,5,25,Moderate,NA
10633,5,5,Moderate,NA
10634,5,7,Low,NA
10635,5,12,Moderate,NA
10636,5,51,Moderate,NA
10637,5,15,Low,NA
10638,5,8,Low,NA
10639,5,22,Moderate,NA
10640,18,NA,Low,1.05
10641,18,4,Moderate,0.76
10642,18,9,Low,NA
10643,18,2,Low,NA
10644,18,14,Low,NA
10645,18,NA,Low,NA
10646,18,17,Low,NA
10647,18,NA,Low,NA
10648,18,NA,Low,NA
10649,18,12,Low,NA
10650,11,2,Low,4.09
10651,11,12,Low,1.1
10652,11,2,Low,NA
10653,11,NA,Low,NA
10654,11,2,Low,NA
10655,11,3,Low,NA
10656,11,6,Low,NA
10657,11,2,Low,NA
10658,11,NA,Low,NA
10659,11,10,Moderate,NA
10660,4,3,Low,1.49
10661,4,16,Low,8.41
10662,4,NA,Low,NA
10663,4,NA,Low,NA
10664,4,2,Low,NA
10665,4,NA,Low,NA
10666,4,21,Low,NA
10667,4,3,Low,NA
10668,4,6,Low,NA
10669,4,NA,Low,NA
10670,9,10,Low,0.66
10671,9,7,Low,0.35
10672,9,1,Low,NA
10673,9,2,Low,NA
10674,9,11,Low,NA
10675,9,NA,Low,NA
10676,9,23,Low,NA
10677,9,4,Low,NA
10678,9,22,Low,NA
10679,9,NA,Low,NA
10680,5,2,Low,2.85
10681,5,15,Low,0.57
10682,5,35,None,NA
10683,5,15,None,NA
10684,5,4,None,NA
10685,5,21,None,NA
10686,5,15,None,NA
10687,5,NA,Low,NA
10688,5,3,Low,NA
10689,5,NA,None,NA
10690,4,NA,Low,0.75
10691,4,5,Low,0.99
10692,4,NA,Low,NA
10693,4,11,Low,NA
10694,4,NA,Low,NA
10695,4,NA,Low,NA
10696,4,5,Low,NA
10697,4,12,Low,NA
10698,4,4,Low,NA
10699,4,NA,Low,NA
10700,20,2,Low,0.65
10701,20,NA,Low,0.94
10702,20,9,Low,NA
10703,20,3,Low,NA
10704,20,7,Low,NA
10705,20,1,Low,NA
10706,20,5,Low,NA
10707,20,2,Low,NA
10708,20,NA,Low,NA
10709,20,51,Low,NA
10710,5,NA,Low,1.57
10711,5,10,Low,1.44
10712,5,3,Low,NA
10713,5,1,Low,NA
10714,5,8,Low,NA
10715,5,1,Low,NA
10716,5,29,Low,NA
10717,5,2,Low,NA
10718,5,NA,Low,NA
10719,5,11,Low,NA
10720,17,NA,Low,0.87
10721,17,5,Low,2.04
10722,17,4,Low,NA
10723,17,3,Low,NA
10724,17,7,Low,NA
10725,17,6,None,NA
10726,17,25,Low,NA
10727,17,3,Low,NA
10728,17,7,Low,NA
10729,17,NA,Low,NA
10730,30,25,Moderate,1.08
10731,30,20,Low,1.85
10732,30,2,Low,NA
10733,30,NA,Moderate,NA
10734,30,3,Low,NA
10735,30,NA,Low,NA
10736,30,50,Low,NA
10737,30,2,Moderate,NA
10738,30,11,Moderate,NA
10739,30,5,Low,NA
10740,26,5,Moderate,1.72
10741,26,3,Moderate,1.68
10742,26,3,Low,NA
10743,26,2,Moderate,NA
10744,26,5,Moderate,NA
10745,26,NA,Moderate,NA
10746,26,52,Low,NA
10747,26,NA,Moderate,NA
10748,26,5,Moderate,NA
10749,26,NA,High,NA
10750,34,NA,Low,0.45
10751,34,1,Low,0.64
10752,34,NA,Low,NA
10753,34,NA,Low,NA
10754,34,3,Low,NA
10755,34,NA,Low,NA
10756,34,88,Low,NA
10757,34,5,Low,NA
10758,34,7,Low,NA
10759,34,32,Low,NA
10760,5,7,Low,0.86
10761,5,30,Low,1.12
10762,5,2,Low,NA
10763,5,3,Moderate,NA
10764,5,NA,Low,NA
10765,5,1,Low,NA
10766,5,6,Low,NA
10767,5,6,Low,NA
10768,5,5,Low,NA
10769,5,NA,Moderate,NA
10770,18,NA,None,NA
10771,18,NA,Low,0.98
10772,18,22,Low,NA
10773,18,4,Low,NA
10774,18,20,Low,NA
10775,18,2,Low,NA
10776,18,NA,Low,NA
10777,18,4,Low,NA
10778,18,8,Low,NA
10779,18,7,Low,NA
10780,11,5,Low,1.51
10781,11,30,Low,0.47
10782,11,2,Low,NA
10783,11,3,Low,NA
10784,11,56,Low,NA
10785,11,12,Low,NA
10786,11,60,Low,NA
10787,11,25,Low,NA
10788,11,55,Low,NA
10789,11,NA,Low,NA
10790,4,NA,Low,0.65
10791,4,4,Low,1.08
10792,4,6,Low,NA
10793,4,NA,Low,NA
10794,4,1,Low,NA
10795,4,2,Low,NA
10796,4,26,Low,NA
10797,4,5,Low,NA
10798,4,3,Low,NA
10799,4,NA,Low,NA
10800,11,83,Low,0.77
10801,11,3,Low,1.17
10802,11,2,Low,NA
10803,11,NA,Low,NA
10804,11,3,Low,NA
10805,11,1,Low,NA
10806,8,17,Low,0.98
10807,8,100,Low,0.93
10808,8,2,Low,NA
10809,8,NA,Low,NA
10810,8,4,Low,NA
10811,8,2,Low,NA
10812,8,96,Low,NA
10813,8,2,Low,NA
10814,8,23,Low,NA
10815,8,200,Low,NA
10816,21,NA,None,NA
10817,21,NA,None,NA
10818,21,3,High,NA
10819,21,17,High,NA
10820,21,6,High,NA
10821,21,13,High,NA
10822,21,22,High,NA
10823,21,NA,Moderate,NA
10824,21,3,Moderate,NA
10825,21,NA,Moderate,NA
10826,5,12,Low,NA
10827,5,3,Low,2.13
10828,5,NA,Low,NA
10829,5,NA,Low,NA
10830,5,1,Low,NA
10831,5,NA,Low,NA
10832,5,4,Low,NA
10833,5,3,Low,NA
10834,5,5,Low,NA
10835,5,50,Moderate,NA
10836,NA,NA,Low,1.28
10837,NA,2,Low,1.79
10838,NA,3,Low,NA
10839,NA,1,Low,NA
10840,NA,2,Low,NA
10841,NA,NA,Low,NA
10842,NA,62,Low,NA
10843,NA,5,Low,NA
10844,NA,30,Low,NA
10845,NA,6,Low,NA
10846,18,NA,None,NA
10847,18,30,Low,1.15
10848,18,2,Low,NA
10849,18,NA,Low,NA
10850,18,5,Low,NA
10851,18,NA,Low,NA
10852,18,16,Low,NA
10853,18,4,Low,NA
10854,18,NA,Low,NA
10855,18,5,Low,NA
10856,18,5,Low,8.35
10857,18,53,Low,0.95
10858,18,NA,Low,NA
10859,18,NA,Low,NA
10860,18,2,Low,NA
10861,18,NA,Low,NA
10862,18,7,Low,NA
10863,18,12,Low,NA
10864,18,28,Low,NA
10865,18,NA,Moderate,NA
10866,11,NA,Low,NA
10867,11,12,Low,NA
10868,11,25,Low,NA
10869,11,NA,Low,NA
10870,17,10,Low,1.1
10871,17,15,Low,0.74
10872,17,4,Low,NA
10873,17,NA,Low,NA
10874,17,5,Low,NA
10875,17,NA,Low,NA
10876,17,17,Low,NA
10877,17,NA,Low,NA
10878,17,NA,Low,NA
10879,17,20,Low,NA
10880,8,10,Low,0.54
10881,8,5,Low,0.74
10882,8,38,Low,NA
10883,8,9,Low,NA
10884,8,50,Low,NA
10885,8,NA,Low,NA
10886,8,45,Low,NA
10887,8,10,Low,NA
10888,8,46,Low,NA
10889,8,NA,Moderate,NA
10890,13,27,Low,NA
10891,13,25,High,NA
10892,13,2,Low,1.91
10893,13,37,Low,2.65
10894,13,2,Low,NA
10895,13,NA,Low,NA
10896,13,9,Low,NA
10897,13,NA,Low,NA
10898,13,26,Low,NA
10899,13,29,Low,NA
10900,13,84,Low,NA
10901,13,NA,Low,NA
10902,NA,NA,Low,NA
10903,NA,NA,Low,1.01
10904,NA,10,None,0.63
10905,NA,3,Low,NA
10906,NA,NA,Low,NA
10907,NA,4,Low,NA
10908,NA,NA,Low,NA
10909,NA,73,Low,NA
10910,NA,22,Low,NA
10911,9,20,Low,0.7
10912,9,67,Low,0.63
10913,9,45,Low,NA
10914,9,15,Moderate,NA
10915,9,105,Low,NA
10916,9,50,Low,NA
10917,9,40,Low,NA
10918,9,NA,Low,NA
10919,9,3,Low,NA
10920,9,NA,Low,NA
10921,9,5,Moderate,5.16
10922,9,15,Moderate,1.39
10923,9,3,Low,NA
10924,9,11,Moderate,NA
10925,9,6,Low,NA
10926,9,NA,Low,NA
10927,9,14,Low,NA
10928,9,NA,Moderate,NA
10929,9,20,Moderate,NA
10930,9,40,High,NA
10931,5,19,Low,10.2
10932,5,62,Low,3.2
10933,5,6,Low,NA
10934,5,NA,Moderate,NA
10935,5,16,Low,NA
10936,5,1,Low,NA
10937,5,102,Low,NA
10938,5,5,Low,NA
10939,5,12,Low,NA
10940,5,NA,Moderate,NA
10941,17,2,Low,0.82
10942,17,NA,Low,1.09
10943,17,3,Low,NA
10944,17,NA,Low,NA
10945,17,3,Low,NA
10946,17,5,Low,NA
10947,17,15,Low,NA
10948,17,15,Moderate,NA
10949,17,25,Moderate,NA
10950,17,280,Moderate,NA
10951,9,2,Low,1.7
10952,9,4,Low,1.41
10953,9,1,Low,NA
10954,9,3,Low,NA
10955,9,1,Low,NA
10956,9,NA,Low,NA
10957,9,6,Low,NA
10958,9,4,Low,NA
10959,9,NA,Low,NA
10960,9,102,Low,NA
10961,NA,NA,Low,1.2
10962,NA,2,Low,1.27
10963,NA,5,Low,NA
10964,NA,1,Low,NA
10965,NA,4,Low,NA
10966,NA,NA,Low,NA
10967,NA,9,Low,NA
10968,NA,NA,Low,NA
10969,NA,1,Low,NA
10970,NA,20,Low,NA
10971,17,40,Low,1.26
10972,17,7,Low,0.98
10973,17,NA,Low,NA
10974,17,1,Low,NA
10975,17,2,Low,NA
10976,17,NA,Low,NA
10977,17,25,Low,NA
10978,17,3,Low,NA
10979,17,10,Low,NA
10980,17,11,Low,NA
10981,20,10,Low,1
10982,20,2,Low,0.62
10983,20,NA,Moderate,NA
10984,20,NA,Low,NA
10985,20,2,Low,NA
10986,20,1,Low,NA
10987,20,32,Low,NA
10988,20,5,Low,NA
10989,20,12,Low,NA
10990,20,56,None,NA
10991,17,1,Moderate,4.65
10992,17,NA,Low,1.66
10993,17,2,Low,NA
10994,17,NA,Low,NA
10995,17,2,Low,NA
10996,17,NA,Low,NA
10997,17,41,Low,NA
10998,17,1,Moderate,NA
10999,17,NA,Low,NA
11000,17,20,Moderate,NA
11001,22,2,Moderate,1.31
11002,22,5,Low,0.62
11003,22,NA,None,NA
11004,22,NA,Moderate,NA
11005,22,NA,Low,NA
11006,22,2,Low,NA
11007,22,77,Low,NA
11008,22,12,Moderate,NA
11009,22,75,Moderate,NA
11010,22,NA,Moderate,NA
11011,9,21,Low,0.85
11012,9,3,Low,0.36
11013,9,12,Low,NA
11014,9,NA,Low,NA
11015,9,1,Low,NA
11016,9,6,Low,NA
11017,9,122,Low,NA
11018,9,16,Low,NA
11019,9,12,Low,NA
11020,9,39,Low,NA
11021,5,7,Low,1.24
11022,5,57,Low,0.66
11023,5,16,Low,NA
11024,5,21,Low,NA
11025,5,3,Low,NA
11026,5,6,Low,NA
11027,5,23,Low,NA
11028,5,NA,Low,NA
11029,5,50,Low,NA
11030,5,NA,Low,NA
11031,11,NA,None,NA
11032,11,60,Moderate,0.82
